分组,常量名/数据项,当前值/地址规则,源码表达式,读取类型/布局,用途/读取基准,当前使用状态,源码文件,源码行,更新后值/是否未变,新版本/验证说明
14 物品静态索引与压缩块,ItemStaticRecordQualityRankOffset,0x1E1,0x1E1,uint8,解压后静态物品记录的品质字节；不在 InventoryItem 对象内。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,198,0x1E1 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
14 物品静态索引与压缩块,StaticResolverEntrySize,0x10,0x10,字节步长,静态索引 entry 步长 0x10。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,199,0x10 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
14 物品静态索引与压缩块,StaticResolverPackedHandleOffset,0x8,0x08,uint64，取低 32 位,静态索引 entry 中的 packed handle；读取 8 字节后截为 uint32。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,200,0x8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
14 物品静态索引与压缩块,StaticResolverPackedChunkShift,14,14,位移量,packed handle 右移 14 位得到 rawChunkIndex；非零时再减 1，0 保持 0。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,201,14 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
14 物品静态索引与压缩块,StaticResolverPackedOffsetMask,0x3FFF,0x3FFF,掩码,packed handle & 0x3FFF 得到解压块内记录偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,202,0x3FFF | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
14 物品静态索引与压缩块,MaxStaticResolverEntries,2000000,2_000_000,参数/上限,静态索引数量安全上限，防止损坏数据导致超大遍历。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,203,2000000 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
14 物品静态索引与压缩块,MaxStaticChunkCompressedBytes,4194304,4 * 1024 * 1024,参数/上限,单个静态压缩块大小上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,204,4194304 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
14 物品静态索引与压缩块,MaxStaticChunkUncompressedBytes,16777216,16 * 1024 * 1024,参数/上限,单个静态解压块大小上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,205,16777216 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
01 Game.dll 全局 RVA,DlgInventoryDialog27MethodRva,0x1C6820,0x1C6820,代码地址,DialogId 27 方法 RVA；仅在背包对象备用扫描路径和 DEBUG 探针中读取/匹配地址。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,207,0x1C6820 | 变更 +0x130,函数体/大小对应：旧 0x1801C66F0 → 新 0x1801C6820。
01 Game.dll 全局 RVA,DlgInventoryDialog28MethodRva,0x1CC0E0,0x1CC0E0,代码地址,DialogId 28 方法 RVA；仅在背包对象备用扫描路径和 DEBUG 探针中读取/匹配地址。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,208,0x1CC0E0 | 变更 +0x130,函数体/大小对应：旧 0x1801CBFB0 → 新 0x1801CC0E0。
01 Game.dll 全局 RVA,DlgInventoryDialogTableRva,0xD63990,0xD63990,ptr64 数组基址,通用 UI 对话框指针表；DialogId * 8 为槽偏移。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,209,0xD63990 | 变更 -0x10,高置信直接确认：大量 UI 表引用从 0xD639A0 → 0xD63990。
01 Game.dll 全局 RVA,DlgInventoryDialog27PointerRva,0xD63A68 = DlgInventoryDialogTableRva + (27UL * 8UL),DlgInventoryDialogTableRva + (27UL * 8UL),ptr64,UI 表第 27 槽，GameBase + 0xD63A68；背包窗口与待丢弃物品读取入口。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,210,0xD63A68 = DlgInventoryDialogTableRva + (27UL * 8UL) | 变更 -0x10,由新 DialogTable 直接推导；对应槽引用也直接匹配。
01 Game.dll 全局 RVA,DlgInventoryDialog28PointerRva,0xD63A70 = DlgInventoryDialogTableRva + (28UL * 8UL),DlgInventoryDialogTableRva + (28UL * 8UL),ptr64,UI 表第 28 槽，GameBase + 0xD63A70；另一个背包窗口候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,211,0xD63A70 = DlgInventoryDialogTableRva + (28UL * 8UL) | 变更 -0x10,由新 DialogTable 直接推导；对应槽引用也直接匹配。
15 背包窗口与对象扫描,DlgInventoryWidgetFlagsOffset,0x28,0x28,uint64,UIWidget flags；背包和丢弃确认框共用最低可见位。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,212,0x28 | 未变,未发现与本次 Game.dll 更新相关的结构变化。
15 背包窗口与对象扫描,DlgInventoryVisibleMask,0x1,0x01,掩码,flags & 0x01 非零表示窗口可见。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,213,0x1 | 未变,未发现与本次 Game.dll 更新相关的结构变化。
15 背包窗口与对象扫描,DlgInventoryPageDirtyFlagBaseOffset,0x585,0x585,uint8，每页一步,历史页面 dirty 标志 + 0x585 + pageIndex；此文件中仅保留定义，不用于判断窗口开关。,仅保留定义，当前无引用,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,214,0x585 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,DlgInventoryWindowRectOffset,0x58,0x58,float64[4],DlgInventory 内 Rect 起始；默认 LegacyDialogRect 路径读取 X/Y/宽/高，间隔 8 字节。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,215,0x58 | 未变,未发现与本次 Game.dll 更新相关的结构变化。
15 背包窗口与对象扫描,DlgInventoryRootWidgetOffset,0x4D8,0x4D8,ptr64,DlgInventory 内 root widget 指针；RootWidgetRectExperimental 路径使用。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,216,0x4D8 | 未变,未发现与本次 Game.dll 更新相关的结构变化。
16 丢弃确认框,DlgInventoryPendingDestroyItemIdOffset,0x598,0x598,uint32,DialogId 27 背包对象内正在等待丢弃确认的物品 InstanceId；为 0 表示没有待确认物品。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,217,0x598 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,FirstNormalDiscardDialogId,336,336,DialogId,普通丢弃确认框扫描范围起点，包含 336。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,218,336 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,LastNormalDiscardDialogId,355,355,DialogId,普通丢弃确认框扫描范围终点，包含 355。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,219,355 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,FirstSpecialDiscardDialogId,356,356,DialogId,特殊丢弃确认框扫描范围起点，包含 356。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,220,356 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,LastSpecialDiscardDialogId,365,365,DialogId,特殊丢弃确认框扫描范围终点，包含 365。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,221,365 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,DiscardMsgBoxTypeOffset,0x4D8,0x4D8,uint32,丢弃确认框类型，用于筛选正确弹窗。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,222,0x4D8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,DiscardMsgBoxConfirmActionOffset,0x4DC,0x4DC,uint32,丢弃确认框确认动作 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,223,0x4DC | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,DiscardMsgBoxCancelActionOffset,0x4E0,0x4E0,uint32,丢弃确认框取消动作 ID。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,224,0x4E0 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,DiscardMsgBoxItemInstanceIdOffset,0x4E8,0x4E8,uint32,丢弃确认框第一个物品 InstanceId 字段。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,225,0x4E8 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,DiscardMsgBoxItemInstanceId2Offset,0x508,0x508,uint32,丢弃确认框第二个物品 InstanceId 字段；与待丢弃 ID 一同校验。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,226,0x508 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,NormalDiscardMsgBoxType,2049,2049,枚举值,普通丢弃确认框类型 2049（0x801）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,227,2049 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,NormalDiscardConfirmAction,2101,2101,枚举值,普通丢弃确认动作 2101（0x835）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,228,2101 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,NormalDiscardCancelAction,2104,2104,枚举值,普通丢弃取消动作 2104（0x838）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,229,2104 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,SpecialDiscardMsgBoxType,3,3,枚举值,特殊丢弃确认框类型 3。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,230,3 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,SpecialDiscardConfirmAction,2105,2105,枚举值,特殊丢弃确认动作 2105（0x839）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,231,2105 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
16 丢弃确认框,SpecialDiscardCancelAction,2106,2106,枚举值,特殊丢弃取消动作 2106（0x83A）。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,232,2106 | 未变（静态结构比对）,对象成员/节点/数组布局在旧新对应函数中未见整体位移；建议关键业务字段上线前做一次实机值域校验。
15 背包窗口与对象扫描,DlgInventoryVtableBackSlots,256,256,参数/上限,从 `DlgInventory` 方法地址向前扫描 vtable 槽位的最大数量。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,233,256 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,RootWidgetRectScanBytes,0x800,0x800,参数/上限,root widget 内扫描 Rect 候选的范围。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,234,0x800 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,RootWidgetRectScanStep,0x8,0x08,参数/上限,root widget Rect 候选扫描步长。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,235,0x8 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,RootWidgetRectOffsetEnvironmentVariable,ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET,"""ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET""",环境变量名,ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET；指定 root widget 内 Rect 起点，未设置时扫描候选。,运行时/辅助解析,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,236,ROADHOG_INVENTORY_ROOT_WIDGET_RECT_OFFSET | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,InventoryUiMinAllocationSize,0x400,0x400,参数/上限,背包 UI 对象 VAD 扫描的最小 allocation size。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,237,0x400 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,InventoryUiMaxAllocationSize,0x3000,0x3000,参数/上限,背包 UI 对象 VAD 扫描的最大 allocation size。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,238,0x3000 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,InventoryUiVadScanBytes,1073741824,1024UL * 1024UL * 1024UL,参数/上限,背包 UI VAD 扫描范围上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,239,1073741824 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
15 背包窗口与对象扫描,InventoryUiObjectScanLimit,32,32,参数/上限,背包 UI 对象候选扫描数量上限。,程序参数/读取保护上限,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,240,32 | 未变（程序侧）,Roadhog 侧策略/上限/环境变量，不是 Game.dll 地址。
17 内联子偏移、数组布局与动态解析,当前目标 EntityId,GameBase + 0xD6CB0A,GameBase + 0xD6CB0A,uint16,LocalEntityIdRva + 2；没有独立命名常量。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,5647,GameBase + 0xD6CB0A | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,世界坐标 Y,CEntity + 0x4E8,CEntity + 0x4E8,float32,EntityWorldPositionOffset + 4。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8740,CEntity + 0x4E8 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,世界坐标 Z,CEntity + 0x4EC,CEntity + 0x4EC,float32,EntityWorldPositionOffset + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8741,CEntity + 0x4EC | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,角色朝向 yaw,CEntity + 0x520,CEntity + 0x520,float32,EntityWorldAnglesOffset + 8；代码直接按角度归一化，不做弧度转换。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,5811,CEntity + 0x520 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,诊断 local 坐标 Y,CEntity + 0x528,CEntity + 0x528,float32,EntityLocalPositionOffset + 4；仅 DEBUG 坐标探针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,1749,CEntity + 0x528 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,诊断 local 坐标 Z,CEntity + 0x52C,CEntity + 0x52C,float32,EntityLocalPositionOffset + 8；仅 DEBUG 坐标探针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,1749,CEntity + 0x52C | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,采集出生坐标 Y,Actor + 0x1A0,Actor + 0x1A0,float32,ActorGatherSpawnPositionOffset + 4。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9485,Actor + 0x1A0 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,采集出生坐标 Z,Actor + 0x1A4,Actor + 0x1A4,float32,ActorGatherSpawnPositionOffset + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9485,Actor + 0x1A4 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,异常 entry Field00,entry + 0x00,entry + 0x00,uint32,本地/队伍共用，原始诊断字段。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6022,entry + 0x00 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,异常 entry AbnormalId,entry + 0x04,entry + 0x04,uint32,本地/队伍共用，异常状态 ID。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6023,entry + 0x04 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,异常 entry Category,entry + 0x08,entry + 0x08,uint32,本地/队伍共用，原始 bucket/category，不能直接等同 Buff/Debuff。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6024,entry + 0x08 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,异常 entry TimeOrSource,entry + 0x0C,entry + 0x0C,uint32,本地/队伍共用，原始时间/来源字段。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6025,entry + 0x0C | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,异常 entry LevelOrStack,entry + 0x10,entry + 0x10,uint16,本地/队伍共用，等级/层数原始值。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,6026,entry + 0x10 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,MSVC wstring 字符存储,stringObject + 0x00,stringObject + 0x00,16 字节内联区或 ptr64,capacity 小于 8 时从对象本身读 UTF-16；否则先解引用此处的字符指针。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10232,stringObject + 0x00 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,MSVC wstring 长度,stringObject + 0x10,stringObject + 0x10,uint64,字符数；代码读取上限 256。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10215,stringObject + 0x10 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,MSVC wstring 容量,stringObject + 0x18,stringObject + 0x18,uint64,以 8 为内联/堆字符串分界；容量保护上限 0x100000。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10216,stringObject + 0x18 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,物品静态索引数量,GameBase + 0xD7541C,GameBase + 0xD7541C,uint32,ItemStaticIndexRva + 0x04；索引头为直接内嵌结构。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10338,GameBase + 0xD7541C | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,物品静态索引 entries,GameBase + 0xD75428,GameBase + 0xD75428,ptr64,ItemStaticIndexRva + 0x10；解引用为排序的 entry 数组。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10341,GameBase + 0xD75428 | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,物品静态索引 key,entry + 0x00,entry + 0x00,uint32,TemplateId 二分查找键，entry 步长 0x10。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10353,entry + 0x00 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,压缩块 compressedSize,chunkPointer + 0x00,chunkPointer + 0x00,uint32,压缩长度。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10397,chunkPointer + 0x00 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,压缩块 uncompressedSize,chunkPointer + 0x04,chunkPointer + 0x04,uint32,解压长度。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10398,chunkPointer + 0x04 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,压缩块数据,chunkPointer + 0x08,chunkPointer + 0x08,byte[compressedSize],zlib 数据；当前解码去掉 2 字节头和 4 字节尾，再以 Deflate 解压。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10403,chunkPointer + 0x08 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,背包 Rect X,DlgInventory + 0x58,DlgInventory + 0x58,float64,默认 Rect 的第 0 项。实验路径则相对动态 rectAddress + 0。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9805,DlgInventory + 0x58 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,背包 Rect Y,DlgInventory + 0x60,DlgInventory + 0x60,float64,默认 Rect 的第 1 项。实验路径相对 rectAddress + 8。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9806,DlgInventory + 0x60 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,背包 Rect 宽,DlgInventory + 0x68,DlgInventory + 0x68,float64,默认 Rect 的第 2 项。实验路径相对 rectAddress + 0x10。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9807,DlgInventory + 0x68 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,背包 Rect 高,DlgInventory + 0x70,DlgInventory + 0x70,float64,默认 Rect 的第 3 项。实验路径相对 rectAddress + 0x18。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9808,DlgInventory + 0x70 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,战术标记槽地址,GameBase + 0xD668D0 + i * 4,GameBase + 0xD668D0 + i * 4,uint32[16],i 为 0 到 15，一次读取 64 字节；保存 ServerObjectId，0 表示空。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,2618,GameBase + 0xD668D0 + i * 4 | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,已装备物品槽地址,InventoryManager + 0x790 + i * 4,InventoryManager + 0x790 + i * 4,uint32[32],i 为 0 到 31；每槽保存物品 InstanceId。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,4906,InventoryManager + 0x790 + i * 4 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,UI 对话框槽地址,GameBase + 0xD63990 + dialogId * 8,GameBase + 0xD63990 + dialogId * 8,ptr64,背包 27/28，普通丢弃 336 到 355，特殊丢弃 356 到 365；范围包含端点。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,3460,GameBase + 0xD63990 + dialogId * 8 | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,静态压缩块槽地址,GameBase + 0xD4E4F0 + chunkIndex * 8,GameBase + 0xD4E4F0 + chunkIndex * 8,ptr64,数组基址直接加索引后读取指针；chunkIndex 来自 packed handle。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,10395,GameBase + 0xD4E4F0 + chunkIndex * 8 | 派生地址已更新,成员/数组规则未变，仅其 GameBase 全局基址按新构建更新。
17 内联子偏移、数组布局与动态解析,对象虚表指针,CEntity / EntitySystem / DlgInventory + 0x00,CEntity / EntitySystem / DlgInventory + 0x00,ptr64,对象头解引用获得 vtable；再读取对应 vfunc 槽。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8838,CEntity / EntitySystem / DlgInventory + 0x00 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,动态 CEntity 到 proxy manager 成员偏移,从 [CEntity.vtable + 0xB8] 的函数体推导,从 [CEntity.vtable + 0xB8] 的函数体推导,uint32 disp32 或 uint8 disp8,读取 16 字节函数体；48 8B 81 后 +3 读取 disp32，或 48 8B 41 后 +3 读取 disp8，再读取 [CEntity + disp]。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8845,从 [CEntity.vtable + 0xB8] 的函数体推导 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,动态 proxy manager 到 Actor 指针位置,扫描 proxyManager 的前 0x400 字节,扫描 proxyManager 的前 0x400 字节,ptr64，步长 8,以 Actor + 8 回指 CEntity、对象类型和 ServerObjectId 校验候选；没有写死单一 Actor 指针偏移。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,8781,扫描 proxyManager 的前 0x400 字节 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
17 内联子偏移、数组布局与动态解析,动态 root widget Rect 偏移,[DlgInventory + 0x4D8] + 运行时解析偏移,[DlgInventory + 0x4D8] + 运行时解析偏移,float64[4],实验路径；由环境变量指定，或在 root widget 前 0x800 字节内以 8 字节步长扫描。,补充读取项/动态规则,Roadhog/Infrastructure/Vmm/AionVmmGameApi.cs,9786,[DlgInventory + 0x4D8] + 运行时解析偏移 | 未变,对象内/数组/ABI/运行时解析规则；静态结构比对未发现需要改动。
